site,cs,yr,month,day,hour,tmin_open,tmax_open,tavg_open,rhmin_open,rhmax_open,rhavg_open,min_vp_open,max_vp_open,avg_vp_open,mean_wind,max_wind_speed,max_wind_time,mean_wind_vector,mean_wind_dir,std_dev_wind_dir,par,totalsolar
,21,2023,4,27,100,8.78,9.05,8.88,97.1,97.3,97.2,10.97,11.2,11.06,0.31,0.51,16,0.24,345.5,37.05,0,0.01
,21,2023,4,27,200,8.91,9.18,9.02,96.9,97.4,97.1,11.08,11.28,11.16,0.37,1.01,144,0.25,14.84,46.89,0,0.02
,21,2023,4,27,300,8.98,9.25,9.09,97,97.4,97.2,11.12,11.37,11.22,0.28,0.29,210,0.22,357,39.18,0,0.01
,21,2023,4,27,400,9.18,9.52,9.33,97.3,97.6,97.4,11.32,11.58,11.43,0.34,1.16,339,0.23,24.35,46.02,0,0.02
,21,2023,4,27,500,9.18,9.59,9.38,97.2,97.5,97.3,11.3,11.64,11.46,0.28,0.28,401,0.19,345.2,45.5,0,0.02
,21,2023,4,27,600,9.12,9.25,9.17,97.3,97.6,97.5,11.26,11.39,11.31,0.28,0.28,501,0.19,246.6,46.09,0.28,0.03
,21,2023,4,27,700,9.12,9.32,9.17,97.5,97.7,97.5,11.27,11.45,11.32,0.28,0.28,601,0.15,212.6,54.26,6.4,0.32
,21,2023,4,27,800,9.05,9.39,9.25,97.5,97.8,97.7,11.22,11.52,11.4,0.28,0.28,701,0.04,229.8,74.8,41.37,1.95
,21,2023,4,27,900,9.39,10,9.78,97.7,98.1,97.9,11.5,12.03,11.83,0.3,0.75,848,0.18,237.3,52.46,108.8,5.49
,21,2023,4,27,1000,9.83,10.61,10.28,97.8,98.1,97.9,11.86,12.53,12.25,0.32,0.6,932,0.16,197.3,57.07,137.7,7
,21,2023,4,27,1100,10.41,11.09,10.8,97.8,98.1,98,12.34,12.94,12.68,0.31,0.65,1035,0.09,151.4,68.97,115.8,5.29
,21,2023,4,27,1200,11.09,11.63,11.38,97.9,98.1,98,12.92,13.42,13.19,0.28,0.28,1101,0.1,25.83,64.88,107.2,4.84
,21,2023,4,27,1300,11.5,12.24,11.88,97.9,98.2,98,13.28,13.97,13.63,0.33,0.84,1223,0.07,275.3,71.8,140.7,6.47
,21,2023,4,27,1400,12.04,12.45,12.2,97.9,98.1,98,13.77,14.15,13.92,0.46,1.32,1348,0.14,63.49,67.82,163.9,7.69
,21,2023,4,27,1500,11.97,12.18,12.07,97.8,98,97.9,13.69,13.9,13.79,0.56,1.28,1433,0.19,338.4,65.88,107.2,4.93
,21,2023,4,27,1600,12.04,12.31,12.17,97.8,98,97.8,13.74,14.01,13.87,0.49,1.16,1547,0.22,7.15,60.59,86.5,3.95
,21,2023,4,27,1700,11.97,12.31,12.11,97.7,97.9,97.8,13.66,13.99,13.8,0.74,1.68,1630,0.1,351.1,75.58,64.17,2.95
,21,2023,4,27,1800,11.97,12.18,12.02,97.7,97.8,97.7,13.66,13.87,13.71,0.47,1.17,1751,0.31,14.39,47.05,40.31,1.96
,21,2023,4,27,1900,11.9,12.07,11.93,97.6,97.8,97.7,13.59,13.77,13.62,0.45,0.87,1820,0.29,4.79,48.33,7.94,0.39
,21,2023,4,27,2000,11.9,12.31,12.05,97.6,97.9,97.7,13.6,14.01,13.74,0.64,1.25,1938,0.21,49.53,66.28,0.46,0.05
,21,2023,4,27,2100,12.18,12.58,12.33,97.8,98,97.8,13.86,14.26,14.02,0.52,1.45,2041,0.09,354.6,73.95,0,0.02
,21,2023,4,27,2200,12.45,12.65,12.55,97.8,97.9,97.8,14.11,14.32,14.21,0.39,0.97,2118,0.24,345.8,49.69,0,0.02
